cluster,material,material_binary,X_Coord,Y_Coord
1,pottery,non-soil,667376.9245,9238679.803
7,soil,soil,666945.2889,9238699.851
5,pottery,non-soil,667091.5206,9238790.365
0,pottery,non-soil,667136.767,9238087.614
5,pottery,non-soil,667071.572,9238800.431
3,pottery,non-soil,667124.5494,9238052.269
4,pottery,non-soil,667093.7406,9238784.485
-1,slag,non-soil,666939.2576,9239243.289
-1,metal,non-soil,667260.5741,9239116.415
1,pottery,non-soil,667082.8696,9238858.591
5,pottery,non-soil,667090.0338,9238786.271
4,pottery,non-soil,667068.4906,9238768.433
5,pottery,non-soil,667093.3436,9238783.742
4,pottery,non-soil,667089.7089,9238792.231
5,pottery,non-soil,667071.8668,9238802.81
6,pottery,non-soil,667072.1144,9238764.997
4,pottery,non-soil,667070.5605,9238800.806
-1,metal,non-soil,667279.4638,9239159.15
-1,slag,non-soil,666912.4061,9239317.964
5,pottery,non-soil,667072.8046,9238770.087
2,pottery,non-soil,667089.3842,9238784.91
5,pottery,non-soil,667094.8009,9238790.271
4,pottery,non-soil,667095.4936,9238792.135
3,pottery,non-soil,667141.5159,9237977.195
3,pottery,non-soil,667463.2518,9238701.974
3,pottery,non-soil,667169.7165,9237967.993
5,pottery,non-soil,667068.5897,9238803.887
4,pottery,non-soil,667095.2152,9238791.314
4,pottery,non-soil,667089.145,9238792.038
5,pottery,non-soil,667074.5968,9238771.487
6,pottery,non-soil,667070.958,9238759.51
3,pottery,non-soil,667094.8207,9238866.076
3,pottery,non-soil,667105.6354,9238857.039
4,pottery,non-soil,667073.8881,9238768.156
3,pottery,non-soil,667163.8967,9238041.922
4,pottery,non-soil,667090.1787,9238784.802
5,pottery,non-soil,667090.5989,9238793.449
3,pottery,non-soil,667171.6394,9238123.71
4,pottery,non-soil,667094.8811,9238785.161
3,pottery,non-soil,667066.3093,9238810.711
3,pottery,non-soil,667111.0061,9238905.583
6,pottery,non-soil,667070.6976,9238769.249
5,pottery,non-soil,667072.1099,9238760.737
-1,slag,non-soil,666966.9971,9239241.017
4,pottery,non-soil,667071.702,9238802.739
6,pottery,non-soil,667072.9205,9238768.815
-1,slag,non-soil,666952.7079,9239240.098
6,pottery,non-soil,667073.5837,9238763.851
3,pottery,non-soil,667068.7063,9238815.421
7,slag,non-soil,666933.8772,9239241.073
3,pottery,non-soil,667145.4258,9238139.52
3,pottery,non-soil,667109.504,9238893.652
5,pottery,non-soil,667073.053,9238762.858
5,pottery,non-soil,667068.7698,9238771.555
-1,pottery,non-soil,667072.5265,9238768.979
-1,metal,non-soil,667241.309,9239154.002
4,pottery,non-soil,667095.1366,9238792.561
3,pottery,non-soil,667071.8967,9238761.723
6,pottery,non-soil,667072.2859,9238770.364
4,pottery,non-soil,667070.5998,9238773.53
1,pottery,non-soil,667301.7326,9238412.985
5,pottery,non-soil,667090.9012,9238786.03
3,pottery,non-soil,667056.386,9238792.418
2,pottery,non-soil,667063.7734,9238769.038
5,pottery,non-soil,667072.1124,9238772.671
4,pottery,non-soil,667057.2199,9238781.2
4,pottery,non-soil,667090.2266,9238792.192
6,pottery,non-soil,667068.9365,9238768.958
3,pottery,non-soil,667091.3352,9238900.035
4,pottery,non-soil,667065.7354,9238773.621
4,pottery,non-soil,667105.2882,9238693.945
-1,soil,soil,,
5,pottery,non-soil,667068.6364,9238799.643
5,pottery,non-soil,667073.5312,9238769.531
